youtuber,video_link,title,comment,word_count,emoji_count,average_word_length
Bea Jonite,https://www.youtube.com/watch?v=edIXpTyM79U,Why am I running for the European Parliament? (in 5 languages) (LV),кто тут с России ?)),5,0,3.2
Bea Jonite,https://www.youtube.com/watch?v=edIXpTyM79U,Why am I running for the European Parliament? (in 5 languages) (LV),So impressive!! Good luck!,4,0,5.75
Bea Jonite,https://www.youtube.com/watch?v=edIXpTyM79U,Why am I running for the European Parliament? (in 5 languages) (LV),"Good Luck, we're rooting for you",6,0,4.5
Bea Jonite,https://www.youtube.com/watch?v=edIXpTyM79U,Why am I running for the European Parliament? (in 5 languages) (LV),Best wishes from Lithuania!,4,0,6.0
Bea Jonite,https://www.youtube.com/watch?v=edIXpTyM79U,Why am I running for the European Parliament? (in 5 languages) (LV),"Danke schön, Thank you! ♥",4,1,5.0
Bea Jonite,https://www.youtube.com/watch?v=edIXpTyM79U,Why am I running for the European Parliament? (in 5 languages) (LV),Hi Bea. Can you do a video on the results of the EU elections in Latvia plz. 😘,17,1,3.5294117647058822
Bea Jonite,https://www.youtube.com/watch?v=edIXpTyM79U,Why am I running for the European Parliament? (in 5 languages) (LV),"ok language, I’d vote in a beat if i could 🙌🏼🙌🏼🙌🏼🙌🏼 goodluck Bea!",12,4,3.75
Bea Jonite,https://www.youtube.com/watch?v=edIXpTyM79U,Why am I running for the European Parliament? (in 5 languages) (LV),I remember another video where you held yourself accountable for making a poor decision that could have ended very badly. I was proud of you then and I am proud of you now. I hope this and all you endeavor to accomplish is successful and leads to lasting happiness.,49,0,4.428571428571429
Bea Jonite,https://www.youtube.com/watch?v=edIXpTyM79U,Why am I running for the European Parliament? (in 5 languages) (LV),Will u be coming to lead india as well one day??😋😋,11,2,3.4545454545454546
Bea Jonite,https://www.youtube.com/watch?v=edIXpTyM79U,Why am I running for the European Parliament? (in 5 languages) (LV),🙌🏾🙌🏾🙌🏾🙌🏾,0,4,0.0
Bea Jonite,https://www.youtube.com/watch?v=edIXpTyM79U,Why am I running for the European Parliament? (in 5 languages) (LV),✊🏼✊🏼✊🏼,0,3,0.0
Bea Jonite,https://www.youtube.com/watch?v=edIXpTyM79U,Why am I running for the European Parliament? (in 5 languages) (LV),"""Прав человека"", а не ""человеческих прав"" ;)",7,0,5.428571428571429
Bea Jonite,https://www.youtube.com/watch?v=kI-573Zj_tY,New generation - new solutions. (Political Ad) (LV),you go girl! Europe needs some intelligent and young women! sending love <3,13,0,4.846153846153846
