youtuber,video_link,title,comment,word_count,emoji_count,average_word_length
CilvēksArKameru,https://www.youtube.com/watch?v=5GHBiIoka8M,Vlogs 11. novembris Lāčplēša diena,"Tik smieklīgi par tiem tankiem. :D
Iesaku aizvest Kārli uz Kara muzeju, tur ieeja ir bezmaksas visu cauru gadu. :)",20,0,4.75
CilvēksArKameru,https://www.youtube.com/watch?v=5GHBiIoka8M,Vlogs 11. novembris Lāčplēša diena,Aizved Kārli 18. Novembrī tur būs tanki. :),8,0,4.5
CilvēksArKameru,https://www.youtube.com/watch?v=5GHBiIoka8M,Vlogs 11. novembris Lāčplēša diena,Jautrs video,2,0,5.5
CilvēksArKameru,https://www.youtube.com/watch?v=5GHBiIoka8M,Vlogs 11. novembris Lāčplēša diena,Tur jau sniegs??!!!!,3,0,6.0
CilvēksArKameru,https://www.youtube.com/watch?v=5GHBiIoka8M,Vlogs 11. novembris Lāčplēša diena,Forša dziesma😎,2,1,6.0
CilvēksArKameru,https://www.youtube.com/watch?v=5GHBiIoka8M,Vlogs 11. novembris Lāčplēša diena,Šogad netiku jo saslimu,4,0,5.0
CilvēksArKameru,https://www.youtube.com/watch?v=6lAJJYOeDeQ,Bliežu pa kastēm un Burnickis izaicina nokārtot CSDD eksāmenu,"Burnicka izaicinājums: https://www.youtube.com/watch?v=Is9gdTqAoEQ
Mans Instagram profils: https://www.instagram.com/cak_lv/

FB: https://www.facebook.com/CilveksArKameru",9,0,17.88888888888889
CilvēksArKameru,https://www.youtube.com/watch?v=6lAJJYOeDeQ,Bliežu pa kastēm un Burnickis izaicina nokārtot CSDD eksāmenu,Pašam tagad sagribējās kaut kad aizbraukt uz šautuvi uz izmēģināt 🔫😃,10,2,5.6
CilvēksArKameru,https://www.youtube.com/watch?v=6lAJJYOeDeQ,Bliežu pa kastēm un Burnickis izaicina nokārtot CSDD eksāmenu,Tā ir Davie504 mūzika? :D,5,0,4.2
CilvēksArKameru,https://www.youtube.com/watch?v=6lAJJYOeDeQ,Bliežu pa kastēm un Burnickis izaicina nokārtot CSDD eksāmenu,Vispār cik izmaksā šaudīšanās?,4,0,6.75
CilvēksArKameru,https://www.youtube.com/watch?v=6lAJJYOeDeQ,Bliežu pa kastēm un Burnickis izaicina nokārtot CSDD eksāmenu,Nav slikta šaušana.,3,0,5.666666666666667
CilvēksArKameru,https://www.youtube.com/watch?v=6lAJJYOeDeQ,Bliežu pa kastēm un Burnickis izaicina nokārtot CSDD eksāmenu,Rolands labākais!,2,0,8.0
CilvēksArKameru,https://www.youtube.com/watch?v=3pKZH4sLQuQ,Strādāju servisā un mainu ziemas riepas,Kura no riepu garāžām šitā ir?!,6,0,4.333333333333333
CilvēksArKameru,https://www.youtube.com/watch?v=3pKZH4sLQuQ,Strādāju servisā un mainu ziemas riepas,Class 👍🇱🇻🇪🇺🚗,1,6,5.0
CilvēksArKameru,https://www.youtube.com/watch?v=3pKZH4sLQuQ,Strādāju servisā un mainu ziemas riepas,Opā rimčiks💯,2,1,5.0
CilvēksArKameru,https://www.youtube.com/watch?v=3pKZH4sLQuQ,Strādāju servisā un mainu ziemas riepas,"Labrāt gribētu darīt to pašu kā automehāniķis  iziet praksi citā riepu servisā, nepaņēma.",13,0,5.846153846153846
CilvēksArKameru,https://www.youtube.com/watch?v=3pKZH4sLQuQ,Strādāju servisā un mainu ziemas riepas,kad ar sito verki pievelk tad gg :D,8,0,3.5
CilvēksArKameru,https://www.youtube.com/watch?v=3pKZH4sLQuQ,Strādāju servisā un mainu ziemas riepas,"Atkal pat youtubē nav miers no reklāmām, nožēlojami,ka tevi var nopirkt ,laikam esi samērā lēts,ja kaut kāda ''riepugaraža'' var atļauties!",20,0,6.0
CilvēksArKameru,https://www.youtube.com/watch?v=3pKZH4sLQuQ,Strādāju servisā un mainu ziemas riepas,Viss kas tev liecās ir tauki uz leju😂😂,8,2,3.625
CilvēksArKameru,https://www.youtube.com/watch?v=3pKZH4sLQuQ,Strādāju servisā un mainu ziemas riepas,Ļoti labs video sanācis 👍🏼,4,1,5.0
CilvēksArKameru,https://www.youtube.com/watch?v=3pKZH4sLQuQ,Strādāju servisā un mainu ziemas riepas,"AUSTRA RIEPU SERVISS

Jelgava * pasta iela 28",8,0,4.625
CilvēksArKameru,https://www.youtube.com/watch?v=3pKZH4sLQuQ,Strādāju servisā un mainu ziemas riepas,"paldies par video saturu, man ka meitenei  bija intresanti paskatities ka tas lietas dara virieši :)",16,0,5.25
CilvēksArKameru,https://www.youtube.com/watch?v=3pKZH4sLQuQ,Strādāju servisā un mainu ziemas riepas,Resnais aizelsās,2,0,7.5
CilvēksArKameru,https://www.youtube.com/watch?v=3pKZH4sLQuQ,Strādāju servisā un mainu ziemas riepas,Tu monte riepas alises masinai ka sanaca riepas montaza tiki viegli gala,12,0,5.083333333333333
CilvēksArKameru,https://www.youtube.com/watch?v=3pKZH4sLQuQ,Strādāju servisā un mainu ziemas riepas,"-iedo izbraukt
-nē
-skopulis 😁😁😁",4,3,6.25
CilvēksArKameru,https://www.youtube.com/watch?v=3pKZH4sLQuQ,Strādāju servisā un mainu ziemas riepas,Nu re... 😂,2,1,3.5
CilvēksArKameru,https://www.youtube.com/watch?v=3pKZH4sLQuQ,Strādāju servisā un mainu ziemas riepas,Ta irctava jauna darba vieta jani,6,0,4.666666666666667
CilvēksArKameru,https://www.youtube.com/watch?v=3pKZH4sLQuQ,Strādāju servisā un mainu ziemas riepas,"Riepu garāžā ietaupīs resursus uz jauno darbinieku apmācību...
Pamēģini nostrādāt pilnu dienu sezonā. 
Gudri dirst nav malku cirst...😁",18,1,6.388888888888889
CilvēksArKameru,https://www.youtube.com/watch?v=3pKZH4sLQuQ,Strādāju servisā un mainu ziemas riepas,"Nu vo, es nezināju to triku par to riepas pārgriešanu attiecībā pret diska smaguma punktu!  :)",16,0,4.875
CilvēksArKameru,https://www.youtube.com/watch?v=3pKZH4sLQuQ,Strādāju servisā un mainu ziemas riepas,Ļoti interesants video like no manis:),6,0,5.5
CilvēksArKameru,https://www.youtube.com/watch?v=3pKZH4sLQuQ,Strādāju servisā un mainu ziemas riepas,"Kāda jēga smērēt ziepi gan uz riepas, gan uz diska?",10,0,4.2
CilvēksArKameru,https://www.youtube.com/watch?v=3pKZH4sLQuQ,Strādāju servisā un mainu ziemas riepas,"Nekad neesmu sapratis, kur kaifs 2x gadā likt attiecīgo gumiju uz tā paša diska? Gan diska malas čakarē, gan resursus tērē, gan laiku tērē, gan savu naudu tērē. Nopērk otru disku komplektu un viss.  atmaksājas divos gados un ja esi vīrietis, tad pie mājas pats 15/20min laikā ar parasto domkratu un atslēgu nomaini visas četras.",55,0,4.963636363636364
CilvēksArKameru,https://www.youtube.com/watch?v=3pKZH4sLQuQ,Strādāju servisā un mainu ziemas riepas,Kas nomaimījas.pārējās riepas ?,4,0,7.0
CilvēksArKameru,https://www.youtube.com/watch?v=3pKZH4sLQuQ,Strādāju servisā un mainu ziemas riepas,"riepas mainīt nav viegli,pats esu daudz mainijis,man aptuveni ,stunda ,20 aiziet ,maiņa balancēšana,un bez kompresora pistoles",16,0,6.9375
CilvēksArKameru,https://www.youtube.com/watch?v=3pKZH4sLQuQ,Strādāju servisā un mainu ziemas riepas,Reklama Prodalsa:) reklāma:),3,0,8.666666666666666
CilvēksArKameru,https://www.youtube.com/watch?v=3pKZH4sLQuQ,Strādāju servisā un mainu ziemas riepas,Ē Rimčik! Kā Tev iet?😁,5,1,3.4
CilvēksArKameru,https://www.youtube.com/watch?v=fsNBcOnpr58,Mans jaunais Talismans? Franču flagmanis un 0-100 km/h Tests,Jolanta riktīgi forša :),4,0,5.25
CilvēksArKameru,https://www.youtube.com/watch?v=fsNBcOnpr58,Mans jaunais Talismans? Franču flagmanis un 0-100 km/h Tests,Kops kura laika reno ir konkorents audi ? :D,9,0,4.0
