youtuber,video_link,title,comment,word_count,emoji_count,average_word_length
Dorothea,https://www.youtube.com/watch?v=lBKvCrB89po,"SAMAKSĀJU SVEŠINIEKAM, LAI FOTOŠOPĒ MANI! | Dorothea","Cik reižu es pateicu ""Aaaak šauusmas, ko es daru ar savu dzīvi?"" 🤔",12,1,4.416666666666667
Dorothea,https://www.youtube.com/watch?v=lBKvCrB89po,"SAMAKSĀJU SVEŠINIEKAM, LAI FOTOŠOPĒ MANI! | Dorothea","Tas pirmais variants ir pilnīgs bezsakars, tikai naudu saņem par neko.!
 Tur jau visām tikai nomainīta krāsa un tas praktiski viss. ;D",22,0,5.090909090909091
Dorothea,https://www.youtube.com/watch?v=lBKvCrB89po,"SAMAKSĀJU SVEŠINIEKAM, LAI FOTOŠOPĒ MANI! | Dorothea","NEVIENS:
Amanda: ej nost tas ir tāds mats😅",8,1,4.25
Dorothea,https://www.youtube.com/watch?v=lBKvCrB89po,"SAMAKSĀJU SVEŠINIEKAM, LAI FOTOŠOPĒ MANI! | Dorothea","Baltas Ziemassvētku bumbas krūšu vietā - sasmējos, jo tas varētu būt nosaukums jautrai dziesmai 😅😅😅",14,3,5.857142857142857
Dorothea,https://www.youtube.com/watch?v=lBKvCrB89po,"SAMAKSĀJU SVEŠINIEKAM, LAI FOTOŠOPĒ MANI! | Dorothea",vai es esmu vienīgā kurai liekas ka pēdējajā selfie viņas seja izskatās pēc Billie Elish😳😅,15,2,4.933333333333334
Dorothea,https://www.youtube.com/watch?v=lBKvCrB89po,"SAMAKSĀJU SVEŠINIEKAM, LAI FOTOŠOPĒ MANI! | Dorothea",Pirms mēneša uztaisiji video par naudas taupīšanu un kā to izmantot liederīgi! Un ko tagad???🙇,15,1,5.266666666666667
Dorothea,https://www.youtube.com/watch?v=lBKvCrB89po,"SAMAKSĀJU SVEŠINIEKAM, LAI FOTOŠOPĒ MANI! | Dorothea","Tas brīdis, kad manuprāt insta storijos pāris dienas atpakal teici, ka mēģināsi ietaupīt cik varēsi. 😂😂😂 Bet bija fun❤️👍",18,5,5.388888888888889
Dorothea,https://www.youtube.com/watch?v=lBKvCrB89po,"SAMAKSĀJU SVEŠINIEKAM, LAI FOTOŠOPĒ MANI! | Dorothea",tā zila “koala” backrounda ir no bt21?😍,7,1,4.571428571428571
Dorothea,https://www.youtube.com/watch?v=lBKvCrB89po,"SAMAKSĀJU SVEŠINIEKAM, LAI FOTOŠOPĒ MANI! | Dorothea",Kad skatījos nevarēju beigt smieties 😁Labs video👍,7,2,5.857142857142857
Dorothea,https://www.youtube.com/watch?v=lBKvCrB89po,"SAMAKSĀJU SVEŠINIEKAM, LAI FOTOŠOPĒ MANI! | Dorothea",Man patika pēdējā bilde. Mati izskatījās ļoti labiii. Tev tādi piestāvētu :),12,0,5.416666666666667
Dorothea,https://www.youtube.com/watch?v=lBKvCrB89po,"SAMAKSĀJU SVEŠINIEKAM, LAI FOTOŠOPĒ MANI! | Dorothea",Pēdējā bilde bija laba 👍,4,1,4.75
Dorothea,https://www.youtube.com/watch?v=lBKvCrB89po,"SAMAKSĀJU SVEŠINIEKAM, LAI FOTOŠOPĒ MANI! | Dorothea",Tu esi ļoti skaista sieviete! 🤗,5,1,5.0
Dorothea,https://www.youtube.com/watch?v=lBKvCrB89po,"SAMAKSĀJU SVEŠINIEKAM, LAI FOTOŠOPĒ MANI! | Dorothea",Super pedejā bilde gaidu nakamo kur kraso  sev pelekus matus ❤❤❤,10,3,5.0
Dorothea,https://www.youtube.com/watch?v=lBKvCrB89po,"SAMAKSĀJU SVEŠINIEKAM, LAI FOTOŠOPĒ MANI! | Dorothea",Tev piestāvētu pelēki mati un tavi video ir SUPER😂😂😂,9,3,4.555555555555555
Dorothea,https://www.youtube.com/watch?v=lBKvCrB89po,"SAMAKSĀJU SVEŠINIEKAM, LAI FOTOŠOPĒ MANI! | Dorothea",ķer like par zombie bildēm :D,6,0,4.0
Dorothea,https://www.youtube.com/watch?v=lBKvCrB89po,"SAMAKSĀJU SVEŠINIEKAM, LAI FOTOŠOPĒ MANI! | Dorothea",vajag otro daļu :) ljoti labs video :),8,0,3.875
Dorothea,https://www.youtube.com/watch?v=lBKvCrB89po,"SAMAKSĀJU SVEŠINIEKAM, LAI FOTOŠOPĒ MANI! | Dorothea","šis bija tiešām smieklīgi, paldies, ka iztērēji 20 eiro, lai vismaz mani sasmīdinātu :D",14,0,5.285714285714286
Dorothea,https://www.youtube.com/watch?v=lBKvCrB89po,"SAMAKSĀJU SVEŠINIEKAM, LAI FOTOŠOPĒ MANI! | Dorothea","Ļoti labs video!
Tu esi ļoti laba jūtūbere!
Tev piestāvēja pelēki mati!
Super! :)",14,0,4.857142857142857
Dorothea,https://www.youtube.com/watch?v=lBKvCrB89po,"SAMAKSĀJU SVEŠINIEKAM, LAI FOTOŠOPĒ MANI! | Dorothea",Tev vajag pelēkus matus! 👍,4,1,5.25
Dorothea,https://www.youtube.com/watch?v=lBKvCrB89po,"SAMAKSĀJU SVEŠINIEKAM, LAI FOTOŠOPĒ MANI! | Dorothea",Okeeeey šis bija tiešām cringe😂bet bija ļoti jautri😅man patika,9,2,5.777777777777778
Dorothea,https://www.youtube.com/watch?v=lBKvCrB89po,"SAMAKSĀJU SVEŠINIEKAM, LAI FOTOŠOPĒ MANI! | Dorothea",Man šķiet ka par 6.58 es varētu labāk.😂,8,1,3.875
Dorothea,https://www.youtube.com/watch?v=lBKvCrB89po,"SAMAKSĀJU SVEŠINIEKAM, LAI FOTOŠOPĒ MANI! | Dorothea",Tev vnk piestāv tik ļoti tie mati es varu tev labu frizieri ieteikt lai tādus nokrāso vnk bomba saulīte,19,0,4.473684210526316
Dorothea,https://www.youtube.com/watch?v=lBKvCrB89po,"SAMAKSĀJU SVEŠINIEKAM, LAI FOTOŠOPĒ MANI! | Dorothea",AKD! KOYA! :D,3,0,3.6666666666666665
Dorothea,https://www.youtube.com/watch?v=lBKvCrB89po,"SAMAKSĀJU SVEŠINIEKAM, LAI FOTOŠOPĒ MANI! | Dorothea",Labs vidjiks,2,0,5.5
Dorothea,https://www.youtube.com/watch?v=lBKvCrB89po,"SAMAKSĀJU SVEŠINIEKAM, LAI FOTOŠOPĒ MANI! | Dorothea",Ļoti interesanta filmas ideja!,4,0,6.75
Dorothea,https://www.youtube.com/watch?v=lBKvCrB89po,"SAMAKSĀJU SVEŠINIEKAM, LAI FOTOŠOPĒ MANI! | Dorothea",9:22 kas ar to vidukli :D ?,7,0,3.0
Dorothea,https://www.youtube.com/watch?v=lBKvCrB89po,"SAMAKSĀJU SVEŠINIEKAM, LAI FOTOŠOPĒ MANI! | Dorothea","cik zinu instagramā ir konti, kas dara visu šo par velti :)",12,0,4.0
Dorothea,https://www.youtube.com/watch?v=lBKvCrB89po,"SAMAKSĀJU SVEŠINIEKAM, LAI FOTOŠOPĒ MANI! | Dorothea",Tav jaunais objektīvs ir awsome,5,0,5.4
Dorothea,https://www.youtube.com/watch?v=lBKvCrB89po,"SAMAKSĀJU SVEŠINIEKAM, LAI FOTOŠOPĒ MANI! | Dorothea",Tev ir puisis?,3,0,4.0
Dorothea,https://www.youtube.com/watch?v=lBKvCrB89po,"SAMAKSĀJU SVEŠINIEKAM, LAI FOTOŠOPĒ MANI! | Dorothea",Nav jāraksta do as bet does,6,0,3.6666666666666665
Dorothea,https://www.youtube.com/watch?v=lBKvCrB89po,"SAMAKSĀJU SVEŠINIEKAM, LAI FOTOŠOPĒ MANI! | Dorothea",Tu neesi normāla tas ir perversi,6,0,4.5
Dorothea,https://www.youtube.com/watch?v=TyRteJjQCVQ,VIŅA IZSAUCA APSARDZI | HUMPALU IZAICINĀJUMS /w Zane Grieta | Dorothea,"Zane ir skaista.! 😊
  Vēlos redzēt Viņu arī nākamajos video.! 🤭",9,2,5.444444444444445
Dorothea,https://www.youtube.com/watch?v=TyRteJjQCVQ,VIŅA IZSAUCA APSARDZI | HUMPALU IZAICINĀJUMS /w Zane Grieta | Dorothea,"Pilnīgi normālas drēbes, nezinu par ko stresojāt😊",7,1,6.0
Dorothea,https://www.youtube.com/watch?v=TyRteJjQCVQ,VIŅA IZSAUCA APSARDZI | HUMPALU IZAICINĀJUMS /w Zane Grieta | Dorothea,"humpalās Es dabūju drēbes, 
kuras citur maksā 20 reizes vairāk 👌",10,1,5.2
Dorothea,https://www.youtube.com/watch?v=TyRteJjQCVQ,VIŅA IZSAUCA APSARDZI | HUMPALU IZAICINĀJUMS /w Zane Grieta | Dorothea,"šis bija forši, interesanti un pozitīvi! paldies, dāmas!",8,0,6.125
Dorothea,https://www.youtube.com/watch?v=TyRteJjQCVQ,VIŅA IZSAUCA APSARDZI | HUMPALU IZAICINĀJUMS /w Zane Grieta | Dorothea,"Tikko sāku skatīties un varu jau derēt, ka būs ideāls video :)",12,0,4.25
Dorothea,https://www.youtube.com/watch?v=TyRteJjQCVQ,VIŅA IZSAUCA APSARDZI | HUMPALU IZAICINĀJUMS /w Zane Grieta | Dorothea,es te atstāšu komentāru ar like,6,0,4.333333333333333
Dorothea,https://www.youtube.com/watch?v=TyRteJjQCVQ,VIŅA IZSAUCA APSARDZI | HUMPALU IZAICINĀJUMS /w Zane Grieta | Dorothea,Grieta❤,1,1,6.0
Dorothea,https://www.youtube.com/watch?v=TyRteJjQCVQ,VIŅA IZSAUCA APSARDZI | HUMPALU IZAICINĀJUMS /w Zane Grieta | Dorothea,Wow Salaspils (es tur dzīvoju) btw es tevi vienreis redzēju tevi kilomaxa,12,0,5.166666666666667
Dorothea,https://www.youtube.com/watch?v=TyRteJjQCVQ,VIŅA IZSAUCA APSARDZI | HUMPALU IZAICINĀJUMS /w Zane Grieta | Dorothea,Zanes outfits <3,3,0,4.666666666666667
Dorothea,https://www.youtube.com/watch?v=TyRteJjQCVQ,VIŅA IZSAUCA APSARDZI | HUMPALU IZAICINĀJUMS /w Zane Grieta | Dorothea,7:07,1,0,4.0
Dorothea,https://www.youtube.com/watch?v=TyRteJjQCVQ,VIŅA IZSAUCA APSARDZI | HUMPALU IZAICINĀJUMS /w Zane Grieta | Dorothea,"Gribētu, lai viņa būtu turpmākos video...",6,0,6.0
