youtuber,video_link,title,comment,word_count,emoji_count,average_word_length
Edžusšovs,https://www.youtube.com/watch?v=5axgW-hKACs,"50€, ja Tu mani sasmīdināsi","TĒVS  saka: „Dēls, rīt iesim sienu pļaut.”
Dēls: „Es nepļaušu.”
Tēvs: „Nē, pļausi gan.”
No rīta aiziet abi uz pļavu. Tēvs saka: „Es aizmirsu ūdeni paņemt, aizej atnes.”
Dēls iet uz mājām, ierauga, ka māte ar kaimiņu ar seksu nodarbojas ne pa jokam. Nolēma nedaudz pagaidīt.
Māte saka kaimiņam: „Tu savu kreklu uzmet uz siena kaudzes, lai tad kad es iešu pusdienas nest – es pie Tevis aizietu nevis pie vīra.”
Dēls iet atpakaļ uz pļavu un ierauga, ka tēvs ķēvi ņem priekšā.
Nu dēls pagaida, kamēr process pabeigsies.
Pieiet pie tēva un saka: „Māte teica, lai tu savu kreklu uzmet uz siena kaudzes, lai viņa nesajauc tevi ar kaimiņu kad pusdienas nesīs.”
Māte nāca un nokļuva pie tēva. Neko darīt.
Tēvs saka dēlam: „Aizej aiznes kaimiņam šņabīti, a to viņš tāds saskumis izskatās.”
Dēls šņabīti izdzer pats, aiziet pie kaimiņa un saka: „Tēvs uzzināja, ka tu māti drātē, un nāks tūliņ tevi ar cirvi sist nost.” Kaimiņš nenoticēja.
Dēls atgriežas pie tēva un saka: „Kaimiņam rati salūzuši, cirvi prasa lai aiznes.”
Tēvs ņem cirvi un iet pie kaimiņa. Kaimiņš ierauga un metas bēgt, tēvs šim pakaļ.
Māte prasa dēlam, kāpēc tēvs skraida pakaļ kaimiņam, un dēls atbild: „Nu tēvs uzzināja, ka tu viņu krāp ar kaimiņu, nolēma viņu sist nost un pēc tam tevi arī sitīs nost.” Māte galvu saķērusi skrien uz ciemu.
Tēvs kaimiņu tā arī nenoķēris atnāk atpakaļ uz pļavu un prasa: „A kur māte aizskrēja?”
Dēls atbild: „Māte uzzināja, ka tu ķēvi drāzi, aizskrēja uz ciemu visiem stāstīt.”
Tēvs pielec kājās un skrien mātei pakaļ.
Dēls piesmēķē cigareti, atguļas pret siena kaudzi un saka: „Es taču teicu, ka nepļaušu – značit nepļaušu.”",276,0,4.86231884057971
Edžusšovs,https://www.youtube.com/watch?v=5axgW-hKACs,"50€, ja Tu mani sasmīdināsi","Tie, kuri raksta ""pirmais."" 🤡",4,1,6.0
Edžusšovs,https://www.youtube.com/watch?v=5axgW-hKACs,"50€, ja Tu mani sasmīdināsi","Labs video, bet man likās, ka Pauls meklēja visnesmieklīgākos jokus, man neviens vispār nelikās smieklīgs😅",15,1,6.066666666666666
Edžusšovs,https://www.youtube.com/watch?v=5axgW-hKACs,"50€, ja Tu mani sasmīdināsi","Norm saeditos ar mūziku un tā , like from me .",11,0,3.272727272727273
Edžusšovs,https://www.youtube.com/watch?v=5axgW-hKACs,"50€, ja Tu mani sasmīdināsi","Man patīk kā tu teici ka iesi ar kājām, bet biji tajā pašā vietā un nekur neaizgāju, jo pēc mašīnām varēja atpazīt",22,0,4.2272727272727275
Edžusšovs,https://www.youtube.com/watch?v=5axgW-hKACs,"50€, ja Tu mani sasmīdināsi",Labs vlogs :) Mums jāuzspēlē šī 50 eur spēle :D,10,0,3.8
Edžusšovs,https://www.youtube.com/watch?v=5axgW-hKACs,"50€, ja Tu mani sasmīdināsi","PA KURIENI IET UMMMM KO ES TEICU
2. JANITIM SKOLOTAJA PRASA AR KO TAVA MAMMA CEP PAMKUKAS AR KO TAVS TETIS IET KARW ES NEZINU JANITS IET MAYAS PRASA MAMMAI MAMMU AR KO TU CEP PANKUKAS AR PANNU AR KO TETIS IET KARA NAKAMA DIENA SKOLOTAY ES ZINU TETIS IET KARA AR PANNU BET MAMMA CEP PANKUKAS AR TANKU😂😂",59,2,4.084745762711864
Edžusšovs,https://www.youtube.com/watch?v=5axgW-hKACs,"50€, ja Tu mani sasmīdināsi",Kāpēc pats nemontē?,3,0,5.666666666666667
Edžusšovs,https://www.youtube.com/watch?v=5axgW-hKACs,"50€, ja Tu mani sasmīdināsi","Nee, šitais bija labais!👍",4,1,5.25
Edžusšovs,https://www.youtube.com/watch?v=5axgW-hKACs,"50€, ja Tu mani sasmīdināsi",Eu man patiiiik 😅,3,1,4.333333333333333
Edžusšovs,https://www.youtube.com/watch?v=5axgW-hKACs,"50€, ja Tu mani sasmīdināsi","Woow , Nezināju ka tev ir Brālis !!??;",8,0,3.875
Edžusšovs,https://www.youtube.com/watch?v=5axgW-hKACs,"50€, ja Tu mani sasmīdināsi","Kā vienmēr, pozitīvs!",3,0,6.333333333333333
Edžusšovs,https://www.youtube.com/watch?v=5axgW-hKACs,"50€, ja Tu mani sasmīdināsi",Es tev pac pirmais liku laiku👍un es jau pirms gada tevi abonēju,12,1,4.25
Edžusšovs,https://www.youtube.com/watch?v=5axgW-hKACs,"50€, ja Tu mani sasmīdināsi",var tevi sasmidinat par 10eur?????,5,0,6.0
Edžusšovs,https://www.youtube.com/watch?v=5axgW-hKACs,"50€, ja Tu mani sasmīdināsi","Foršs, interesants video.",3,0,7.666666666666667
Edžusšovs,https://www.youtube.com/watch?v=5axgW-hKACs,"50€, ja Tu mani sasmīdināsi",Man patika pēdējā anekdote,4,0,5.75
Edžusšovs,https://www.youtube.com/watch?v=5axgW-hKACs,"50€, ja Tu mani sasmīdināsi",Bija riktīgi interesanti 😃,3,1,7.333333333333333
Edžusšovs,https://www.youtube.com/watch?v=5axgW-hKACs,"50€, ja Tu mani sasmīdināsi",Es domāju kad tu podā liec kameru 0:46,8,0,3.875
Edžusšovs,https://www.youtube.com/watch?v=5axgW-hKACs,"50€, ja Tu mani sasmīdināsi",man carcasone ir jau gadu ar draugiem spēlēju forša spēle,10,0,4.8
Edžusšovs,https://www.youtube.com/watch?v=5axgW-hKACs,"50€, ja Tu mani sasmīdināsi",Atkal interesants vidijo😎😆,3,2,7.333333333333333
Edžusšovs,https://www.youtube.com/watch?v=5axgW-hKACs,"50€, ja Tu mani sasmīdināsi",4 skatijumi un 40 like ??? kā tas var būt ?,11,0,3.0
Edžusšovs,https://www.youtube.com/watch?v=5axgW-hKACs,"50€, ja Tu mani sasmīdināsi",Labs!,1,0,5.0
Edžusšovs,https://www.youtube.com/watch?v=5axgW-hKACs,"50€, ja Tu mani sasmīdināsi",Šo tiltu 3:28 atceros no vienas filmas,7,0,4.571428571428571
