youtuber,video_link,title,comment,word_count,emoji_count,average_word_length
Evelina Parkere,https://www.youtube.com/watch?v=XDZdtNL6C0k,"klauni, ballītes, universitāte, neveikli joki... ā un kokamiza ;)",kokamiza,1,0,8.0
Evelina Parkere,https://www.youtube.com/watch?v=XDZdtNL6C0k,"klauni, ballītes, universitāte, neveikli joki... ā un kokamiza ;)","Evelīna-FuCk LaTvIjAs YouTube
𝗔𝗹𝘀𝗼 𝗘𝘃𝗲𝗹ī𝗻𝗮-uzstaisa 24 minušu garu video ar 4 reklemām.
easy profit",14,0,6.142857142857143
Evelina Parkere,https://www.youtube.com/watch?v=XDZdtNL6C0k,"klauni, ballītes, universitāte, neveikli joki... ā un kokamiza ;)","Nekad nekomentēju, bet šis ir nerāli smieklīgs video👍",8,1,5.625
Evelina Parkere,https://www.youtube.com/watch?v=XDZdtNL6C0k,"klauni, ballītes, universitāte, neveikli joki... ā un kokamiza ;)","Cik ilgi vel filmēsies seriālā „ Viss pa jaunam""",9,0,4.444444444444445
Evelina Parkere,https://www.youtube.com/watch?v=XDZdtNL6C0k,"klauni, ballītes, universitāte, neveikli joki... ā un kokamiza ;)","tas intro, tho xDD",4,0,3.75
Evelina Parkere,https://www.youtube.com/watch?v=XDZdtNL6C0k,"klauni, ballītes, universitāte, neveikli joki... ā un kokamiza ;)",Tas ir iemesls lai atgrieztos pie Latvijas YouTube video filmēšanas!,10,0,5.9
Evelina Parkere,https://www.youtube.com/watch?v=XDZdtNL6C0k,"klauni, ballītes, universitāte, neveikli joki... ā un kokamiza ;)","Sakrājat šim video ļooooti daudz likes, varbūt Evelīna atgriezīsies pavisam. :-)💜💥✨",11,3,6.363636363636363
Evelina Parkere,https://www.youtube.com/watch?v=XDZdtNL6C0k,"klauni, ballītes, universitāte, neveikli joki... ā un kokamiza ;)",Ar prieku skatījos šo vidio. Ludzuu vēēl vidio ❤️,9,1,4.444444444444445
Evelina Parkere,https://www.youtube.com/watch?v=XDZdtNL6C0k,"klauni, ballītes, universitāte, neveikli joki... ā un kokamiza ;)",Atkal labs jautrs vidijo tu mani iepriecinājis jo man līdz šim brīdim bija bēdīgi pld😍😎❤️❤️❤️😆🎀🤩🤩,15,9,4.933333333333334
Evelina Parkere,https://www.youtube.com/watch?v=XDZdtNL6C0k,"klauni, ballītes, universitāte, neveikli joki... ā un kokamiza ;)",Ja nepatiks.Man vienalga😂Laurai rudi mati,5,1,7.2
