youtuber,video_link,title,comment,word_count,emoji_count,average_word_length
FunFaceTV,https://www.youtube.com/watch?v=pF-qPqFcEBY,ZOGU NAUDU NO VECĀKIEM @FunFaceTV,Norberta vecā frizūra apakaļ. Atgādina vecos labos FunFaceTV laikus.,9,0,6.666666666666667
FunFaceTV,https://www.youtube.com/watch?v=pF-qPqFcEBY,ZOGU NAUDU NO VECĀKIEM @FunFaceTV,200€ mēnesī blad,3,0,4.666666666666667
FunFaceTV,https://www.youtube.com/watch?v=pF-qPqFcEBY,ZOGU NAUDU NO VECĀKIEM @FunFaceTV,Norbis varētu uzvilkt uzvalku un būtu riktīgs mafiozo. :D,9,0,5.444444444444445
FunFaceTV,https://www.youtube.com/watch?v=pF-qPqFcEBY,ZOGU NAUDU NO VECĀKIEM @FunFaceTV,Taisiet minecraft lets play,4,0,6.0
FunFaceTV,https://www.youtube.com/watch?v=pF-qPqFcEBY,ZOGU NAUDU NO VECĀKIEM @FunFaceTV,Te jau var dabūt tikai pērienu,6,0,4.166666666666667
FunFaceTV,https://www.youtube.com/watch?v=pF-qPqFcEBY,ZOGU NAUDU NO VECĀKIEM @FunFaceTV,Blyaa Norberts taka tāds krievs😂😂 Taa iecepī man patīk tavas pediņūsas no Hate bet tev piestāv beidzot vodaks ilgi jav gaidīju,21,2,4.9523809523809526
FunFaceTV,https://www.youtube.com/watch?v=pF-qPqFcEBY,ZOGU NAUDU NO VECĀKIEM @FunFaceTV,Kāds jums e pasts džeki esmu gatavs kko jums pavestīt,10,0,4.4
FunFaceTV,https://www.youtube.com/watch?v=pF-qPqFcEBY,ZOGU NAUDU NO VECĀKIEM @FunFaceTV,7.16 the best moments :D,5,0,4.0
FunFaceTV,https://www.youtube.com/watch?v=pF-qPqFcEBY,ZOGU NAUDU NO VECĀKIEM @FunFaceTV,Man mēnesi blad ir 15€ a viņš ņem 200€ mēnesi,10,0,3.6
FunFaceTV,https://www.youtube.com/watch?v=pF-qPqFcEBY,ZOGU NAUDU NO VECĀKIEM @FunFaceTV,"2018.gada 11.februaris laiks kad man paliek 18.gadi .vārdu pēc tam pieminesu pagaidām kauns 
tatad satieku dāmu uzaicinu pie sevis nav problēmu ēdam mandarīnus un pa reizitem apgramstam viens otru
pēkšņi viņa man saka Kristap nelien apakšā a zin man bija interese es domāju moš uzbudinu vai kā nu protams līdu līdz bridim... Pirmie 2 pirksti asinis ak nee es vēl vemt sāku jo nu baigi slikti no tādām lietām paliek visa gultas matracis metams laukā es cirvis meitenei paradiju toleti kr4 Lab poh tas murgs beidzas meiteni līdz durvīm pavadu kas notiek nākamajā rītā kad senči pārnāk mamma iejiet tolete un bļauj Kristap kas tev notika kāpēc toletes papīri ar asinīm atrodas atkritumos es sāku tas tāpēc ka skola sakavos nākamajā dienā vajadzēja pateikt kurš mani sitis pateicu ar čomu nabagam viņa vecāki un mamejie pizdi uzrakstīja tagad ir 2019.gads 11.novembris un jautājums tāds ka lai saligstu ar čomu un kā lai paskaties meitenei acis pats galvenais satikt viņus vēl varu jo dzīvoju tur pat bet izvairos  


Ielikšu te savu problēmu moš kāds var palīdzēt jo nu FunFaceTv@ neatradu",179,0,5.044692737430168
FunFaceTV,https://www.youtube.com/watch?v=pF-qPqFcEBY,ZOGU NAUDU NO VECĀKIEM @FunFaceTV,"senos laikos vajadzeja ik pa laikam naudu internetzalem , mājas naudas bļodina tika tīrita :D",15,0,5.266666666666667
FunFaceTV,https://www.youtube.com/watch?v=pF-qPqFcEBY,ZOGU NAUDU NO VECĀKIEM @FunFaceTV,Caur teļefon viss chiļ,4,0,4.75
