youtuber,video_link,title,comment,word_count,emoji_count,average_word_length
Mellenbergi.,https://www.youtube.com/watch?v=Cv7yGJWXm-s,Kas ir JĀMAINA? | Mellenbergi,"To lietu sauc nosūcējs, nevis atsūcējs 😅",6,1,5.5
Mellenbergi.,https://www.youtube.com/watch?v=Cv7yGJWXm-s,Kas ir JĀMAINA? | Mellenbergi,"Kā to saprast? Nav lietojamas?!
Pastāsti kāpēc🙂",7,1,5.714285714285714
Mellenbergi.,https://www.youtube.com/watch?v=Cv7yGJWXm-s,Kas ir JĀMAINA? | Mellenbergi,Mana ome ari Maximu sauc par Mahimu😁😁😁,7,3,4.142857142857143
Mellenbergi.,https://www.youtube.com/watch?v=Cv7yGJWXm-s,Kas ir JĀMAINA? | Mellenbergi,"Mūsu ģimene noteikti ir tērētāji😂😂,mēs mēģinām iekrāt”mēģinām”tādām dārgākām lietām,mēs esam trīs bērni ģimenē un daram ar to” krāšanu”,ko varam😂",19,3,6.526315789473684
Mellenbergi.,https://www.youtube.com/watch?v=Cv7yGJWXm-s,Kas ir JĀMAINA? | Mellenbergi,"Nopērciet Crypto :) vienkārši turēt kontā naudu un pat neveidot to kā krājkontu, neredzu jēgu..",15,0,5.4
Mellenbergi.,https://www.youtube.com/watch?v=Cv7yGJWXm-s,Kas ir JĀMAINA? | Mellenbergi,Kur jus pirkat tutas lapsinu? Manam delinam ari loti patik.,10,0,5.0
Mellenbergi.,https://www.youtube.com/watch?v=Cv7yGJWXm-s,Kas ir JĀMAINA? | Mellenbergi,"Grūti saprast pēdējos vlogus daudz dienas kopā, kur, uz kurieni braucat, pēkšņi jau nākamā diena un viss kopā sanāk īsi un saraustīti. Noteikti var ietaupīt gatavojot vairāk mājās. Jo cik nu izejot no mājas mazāk par 50EUR neiztērēsim. Ir noteikti daudz sīkumi un lietas, ko var nepirkt un bez ka var iztikt. Tas pašas garšvielas noteikti nu jau ir luksusa prece daudziem LV iedzīvotājiem.",64,0,5.09375
Mellenbergi.,https://www.youtube.com/watch?v=Cv7yGJWXm-s,Kas ir JĀMAINA? | Mellenbergi,"Kuras tad ir tās garšvielas lielveikalos,kuras drīkst lietot uzturā?",9,0,6.666666666666667
Mellenbergi.,https://www.youtube.com/watch?v=Cv7yGJWXm-s,Kas ir JĀMAINA? | Mellenbergi,"Mes katru mēnesi noliekam pāris simt euro un NEKADĀ gadījumā netērējam (vienīgi ja notiek kkas ārkārtējs, piem, slimnīcas pakalpojumi)  Vienkarši netērēt un pēc tam pa to naudu braukt ceļojumā.",29,0,5.655172413793103
Mellenbergi.,https://www.youtube.com/watch?v=Cv7yGJWXm-s,Kas ir JĀMAINA? | Mellenbergi,"Nauda ir jātērē! Tāpēc tā ir, lai to tērētu! Es palīdzu arī jūsu ģimenei nopelnīt! Uzklikoju uz visām trim video iekļautajam reklāmām! 🤩👍",22,2,5.136363636363637
Mellenbergi.,https://www.youtube.com/watch?v=Cv7yGJWXm-s,Kas ir JĀMAINA? | Mellenbergi,"Njaa naudas taupisana mums ari nepadodas . Kad sanemam naudu lielaka dala aiziet maksajumos un berniem niecinjiem . 
Ir meiginats kraat naudu bet ja  kkas ir iekrats tad tas tiek izterets kad vairs nav naudas 😁 taka baigi JAMAK IR TAUPIT NAUDA KO MES NEMAKAM 😁😁",44,3,4.795454545454546
Mellenbergi.,https://www.youtube.com/watch?v=Cv7yGJWXm-s,Kas ir JĀMAINA? | Mellenbergi,Mūsu ğimene gan taupa nau gan tērē,7,0,4.0
Mellenbergi.,https://www.youtube.com/watch?v=Cv7yGJWXm-s,Kas ir JĀMAINA? | Mellenbergi,ne,1,0,2.0
Mellenbergi.,https://www.youtube.com/watch?v=Cv7yGJWXm-s,Kas ir JĀMAINA? | Mellenbergi,Viss butu ok bet reklamaas video nav ok,8,0,4.0
Mellenbergi.,https://www.youtube.com/watch?v=Cv7yGJWXm-s,Kas ir JĀMAINA? | Mellenbergi,ja,1,0,2.0
Mellenbergi.,https://www.youtube.com/watch?v=7kqPq1R3wlk,domas par vegānismu? (un dzīvi) | Mellenbergi.,💜Katru jūsu video gaidu ar nepacietību kad ir garlaicīgi skatos vecos Gustava un Baibas video😊 Nēesmu vēl pilngadīga bet jūsu video vienmēr uzmundrina.,23,2,5.521739130434782
Mellenbergi.,https://www.youtube.com/watch?v=7kqPq1R3wlk,domas par vegānismu? (un dzīvi) | Mellenbergi.,Hey! Jūs esat burvīga ģimenīte! Skatos arī Jūs ig (esmu @adriana.culkstena). Ļoti burvīgi youtuberi! Jūsu video ļoti aizrauj!😉,18,1,6.0
Mellenbergi.,https://www.youtube.com/watch?v=7kqPq1R3wlk,domas par vegānismu? (un dzīvi) | Mellenbergi.,Beigas ļoti garšīgā brīdī beidzās🥰👍,5,2,5.8
Mellenbergi.,https://www.youtube.com/watch?v=7kqPq1R3wlk,domas par vegānismu? (un dzīvi) | Mellenbergi.,"Noskatieties filmu ""Meet your meat"", tas noteikti liks mainīt domas",10,0,5.8
