youtuber,video_link,title,comment,word_count,emoji_count,average_word_length
PieciLV,https://www.youtube.com/watch?v=NhxQYg85t9U,Austras balva 2019: VIŅA,"Kauns, kā nēzinājāt Viņas īsto vārdu. (dunno)",7,0,5.571428571428571
PieciLV,https://www.youtube.com/watch?v=NhxQYg85t9U,Austras balva 2019: VIŅA,Idioti,1,0,6.0
PieciLV,https://www.youtube.com/watch?v=yWttew4ydrg,Austras balva 2019: Astro'n'out,Viņi to balvu ir pelnījuši krietni vairāk nekā Instrumenti.,9,0,5.666666666666667
PieciLV,https://www.youtube.com/watch?v=EOWkH345T4Y,"GLOBALIZĀCIJA, MĀCĪBAS, EMOCIJAS / Helēna Jubalte, Anete Biķe","Nekā personīga, bet Helēna šķiet tik ļoti atrauta no reālās vides un, manuprāt, būtu bijis vērtīgāk uzaicināt uz diskusiju jaunieti, kura vecāki finansiālu apstākļu dēļ strādā ārzemēs. Klausītājiem būtu bijis daudz interesantāk, jo tiktu aktualizētas realitātei pietuvinātākas tēmas. 
Anetes stāstītais gan ļoti patika un šķita noderīgs.",46,0,6.326086956521739
PieciLV,https://www.youtube.com/watch?v=EOWkH345T4Y,"GLOBALIZĀCIJA, MĀCĪBAS, EMOCIJAS / Helēna Jubalte, Anete Biķe","Vide, kur tik daudz dažādas kultūras cilvēki dzīvo kopā, draugus atrast un paturēt ir tikpat ka neiespējami ,jo citas tautības neuzņem sava klika cittautiešus , neuzticības faktors spēle lomu vini tur dzīvo ka “vientuļas salas” Izklausās ka Anete par draugiem sauc tikai gadījuma paziņas",44,0,5.545454545454546
PieciLV,https://www.youtube.com/watch?v=EOWkH345T4Y,"GLOBALIZĀCIJA, MĀCĪBAS, EMOCIJAS / Helēna Jubalte, Anete Biķe",Kāpēc cilvēki viss biežāk brauc projām no Latvijas? Mūms tāču ir Latvijā ir ļoti laba attīstīta ēkonomikā. Tur kur es pašlaik dzīvoju Salaspili Mūms te ir 6 mīlzīgas rūpnīcas. Kur parasti cilvēki var ātrast sev darbu. Šīs rūpnīcas ārzemju rūpnīcas bet galvenais viņi pilnvērtīgi strādā.,45,0,5.377777777777778
PieciLV,https://www.youtube.com/watch?v=EOWkH345T4Y,"GLOBALIZĀCIJA, MĀCĪBAS, EMOCIJAS / Helēna Jubalte, Anete Biķe","Vai tie jaunieši kas brauc studēt ārzemes, vai viņu vecāki maksa par visu viņu mācībām un pārējo ?",18,0,4.5
PieciLV,https://www.youtube.com/watch?v=Ap2Yr-JEmcI,Austras balva 2019: Jāņa Ruņģa Klātbūtne,Pirmais,1,0,7.0
PieciLV,https://www.youtube.com/watch?v=uhQikHYVUfo,"JAUNIETIS, MĀJAS, ĢIMENE / Laura Ķīse, Jānis Krīvēns","Ja Laura Ķīse būtu mācījusies priedēkļus un piedēkļus jau no sākta gala, tad viņai tagad nebūtu problēmas ar valodu. :)",20,0,5.0
PieciLV,https://www.youtube.com/watch?v=uhQikHYVUfo,"JAUNIETIS, MĀJAS, ĢIMENE / Laura Ķīse, Jānis Krīvēns",Jānis vienkārši💣nobombija ar ļoti noderīgu informāciju jauniešiem.💪,7,2,8.428571428571429
PieciLV,https://www.youtube.com/watch?v=uhQikHYVUfo,"JAUNIETIS, MĀJAS, ĢIMENE / Laura Ķīse, Jānis Krīvēns","Diemžēl, valstī nav nekādas aktīvas programmas, kas palīzētu jauniešiem uzsākt savu patstāvīgo dzīvi.
 Pie mums tieši otrādi - uzliek jaunietim visu smago nodokļu nastu un vēl vairāk(jo viņš ir jauns, darbspējīgs nodokļu maksātājs.)
 Un tieši tāpēc pie mums ir ļoti grūti uzsākt 'savu' dzīvi, tieši tāpēc Eiropā mēs esam ātro kredītu līderos ar vislielākajiem nebanku kredītiem uz vienu personu. Un kas ir tie kas 'ņem?' = Tieši jaunieši, kuriem nav stabilitāte, bankā tādiem nedod. Bet dzīvot(uzdzīvot) gribas. Un mūsu valstī likumdošana diemžel šo atļauj, ievelkot s.dos jauniešus, kuriem egoisms neļauj dzīvot vecāku mājā, jau no 18 gadiem, raujas prom jo grib dzīvot 'lepni' un patstāvīgi... Padzīvo kādu laiku, sakrāj sev parādus jo nespēj nosegt visu ko gribas, pa daudz neapdomīgi aizņemas un tad atgriežas atpakaļ un ir, kā saka - pelna, dzīvo pie vecākiem, bet nauda nav. ;)


 padomju savienības 'kojas' ir briesmīgas, planojums kā jau psrsā - pēc iespējas vairāk iebāzt cilvēkus zem viena jumta. Turklāt ēkas ir savu nokalpojušas, neviens negrib tās restaurēt tādējādi apstākļi ir šausmīgi, prusaki ir ikdiena, jāvelkas uz publiskajām dušām... jāgatavo drausmīgajā publiskajā virtuvē....(bet cena pieņemama.)
 Jaunuzceltās 'kojas' ir normālas kur ir sava privatā telpa, privātā duša, wc un virtuvīte kur gatavot, jo celtas apartimentu stilā, bet cena ir d....( 250, 300 pat 400€/mēn no cilvēka)
  Kapēc tik dārgi? Jo bizness.... Un atkal atduramies pret to finansiālo sienu.",224,0,5.598214285714286
PieciLV,https://www.youtube.com/watch?v=uhQikHYVUfo,"JAUNIETIS, MĀJAS, ĢIMENE / Laura Ķīse, Jānis Krīvēns","Likās, ka skatos Pēdējo Pilīti",5,0,5.2
