youtuber,video_link,title,comment,word_count,emoji_count,average_word_length
Pipars LV,https://www.youtube.com/watch?v=JFOMyJh7waQ,EXOTIC STOP produkcijas degustācija + KONKURSS! 🍭 🍬🍡,Actually at stockam now nerds are available,7,0,5.285714285714286
Pipars LV,https://www.youtube.com/watch?v=JFOMyJh7waQ,EXOTIC STOP produkcijas degustācija + KONKURSS! 🍭 🍬🍡,Steps cool😂,2,1,4.5
Pipars LV,https://www.youtube.com/watch?v=JFOMyJh7waQ,EXOTIC STOP produkcijas degustācija + KONKURSS! 🍭 🍬🍡,Mani mīļākie čipsi 😆,3,1,5.333333333333333
Pipars LV,https://www.youtube.com/watch?v=JFOMyJh7waQ,EXOTIC STOP produkcijas degustācija + KONKURSS! 🍭 🍬🍡,Steps ir ljoti smuks un man patīk vinz reta uz vedera,11,0,3.909090909090909
Pipars LV,https://www.youtube.com/watch?v=JFOMyJh7waQ,EXOTIC STOP produkcijas degustācija + KONKURSS! 🍭 🍬🍡,Labs video  !,3,0,3.3333333333333335
Pipars LV,https://www.youtube.com/watch?v=JFOMyJh7waQ,EXOTIC STOP produkcijas degustācija + KONKURSS! 🍭 🍬🍡,Lai veicas STEP PIPAR un EKSOTIK SHOP,7,0,4.428571428571429
Pipars LV,https://www.youtube.com/watch?v=JFOMyJh7waQ,EXOTIC STOP produkcijas degustācija + KONKURSS! 🍭 🍬🍡,Steps very cool,3,0,4.333333333333333
Pipars LV,https://www.youtube.com/watch?v=JFOMyJh7waQ,EXOTIC STOP produkcijas degustācija + KONKURSS! 🍭 🍬🍡,1 like,2,0,2.5
Pipars LV,https://www.youtube.com/watch?v=JFOMyJh7waQ,EXOTIC STOP produkcijas degustācija + KONKURSS! 🍭 🍬🍡,Steps  labaks neka reps 👍,4,1,4.75
Pipars LV,https://www.youtube.com/watch?v=JFOMyJh7waQ,EXOTIC STOP produkcijas degustācija + KONKURSS! 🍭 🍬🍡,arturam forsi tetovejumi uz galvas,5,0,6.0
Pipars LV,https://www.youtube.com/watch?v=JFOMyJh7waQ,EXOTIC STOP produkcijas degustācija + KONKURSS! 🍭 🍬🍡,Lai tev veicas step,4,0,4.0
