youtuber,video_link,title,comment,word_count,emoji_count,average_word_length
Sindija,https://www.youtube.com/watch?v=2vyGZAvbyDI,KĀ ES IEMĀCĪJOS NELIETOT KOSMĒTIKU / minimālā makeup rutīna,"gribu redzēt katra uzacis, kuram ir kāds slikts komentārs par manējām 😈",11,1,5.363636363636363
Sindija,https://www.youtube.com/watch?v=2vyGZAvbyDI,KĀ ES IEMĀCĪJOS NELIETOT KOSMĒTIKU / minimālā makeup rutīna,aiziet makeuparsindiju 😍,2,1,10.5
Sindija,https://www.youtube.com/watch?v=2vyGZAvbyDI,KĀ ES IEMĀCĪJOS NELIETOT KOSMĒTIKU / minimālā makeup rutīna,"Var pamanīt,kad esi mainījusies uz labo pusi.. (pēc runāšanas veida) :) Lai veicas ar atgriešanos! :)",16,0,5.375
Sindija,https://www.youtube.com/watch?v=2vyGZAvbyDI,KĀ ES IEMĀCĪJOS NELIETOT KOSMĒTIKU / minimālā makeup rutīna,man patiiik tavas uzaciis 💕😩,4,2,5.5
Sindija,https://www.youtube.com/watch?v=2vyGZAvbyDI,KĀ ES IEMĀCĪJOS NELIETOT KOSMĒTIKU / minimālā makeup rutīna,"uztaisi video,kur uzkrāsojies max extra",5,0,7.0
Sindija,https://www.youtube.com/watch?v=2vyGZAvbyDI,KĀ ES IEMĀCĪJOS NELIETOT KOSMĒTIKU / minimālā makeup rutīna,vai tu burt's bees lūpu balzamu nopērc kaut kur latvijā vai speciāli pasūti??,13,0,5.0
Sindija,https://www.youtube.com/watch?v=2vyGZAvbyDI,KĀ ES IEMĀCĪJOS NELIETOT KOSMĒTIKU / minimālā makeup rutīna,Galvenais ir atcerēties visdabīgākais cilvēks ir visskaistākais...Kaut vai pašam liekas fuj kā man tas izskatās...Kādu cilvēku dievs radīja tāds viņš ir vissmukākais,22,0,6.545454545454546
Sindija,https://www.youtube.com/watch?v=2vyGZAvbyDI,KĀ ES IEMĀCĪJOS NELIETOT KOSMĒTIKU / minimālā makeup rutīna,sveicināta atpakaļ 💪🏻,2,1,8.5
Sindija,https://www.youtube.com/watch?v=2vyGZAvbyDI,KĀ ES IEMĀCĪJOS NELIETOT KOSMĒTIKU / minimālā makeup rutīna,Tieši tik vienkārša ir arī mana ikrīta rutīna un neko vairāk arī nevajag.,13,0,4.6923076923076925
Sindija,https://www.youtube.com/watch?v=2vyGZAvbyDI,KĀ ES IEMĀCĪJOS NELIETOT KOSMĒTIKU / minimālā makeup rutīna,"Tas brīdis, kad iznāk vidik, nice.
Beeet mejkap videjo faaak meee proper",12,0,5.083333333333333
Sindija,https://www.youtube.com/watch?v=2vyGZAvbyDI,KĀ ES IEMĀCĪJOS NELIETOT KOSMĒTIKU / minimālā makeup rutīna,❤️❤️❤️❤️,1,4,4.0
Sindija,https://www.youtube.com/watch?v=2vyGZAvbyDI,KĀ ES IEMĀCĪJOS NELIETOT KOSMĒTIKU / minimālā makeup rutīna,Es reti krāsojos.,3,0,5.0
Sindija,https://www.youtube.com/watch?v=2vyGZAvbyDI,KĀ ES IEMĀCĪJOS NELIETOT KOSMĒTIKU / minimālā makeup rutīna,davaj kjū and aj,4,0,3.25
Sindija,https://www.youtube.com/watch?v=40e5TzmeWDI,KĀ PATIESĪBĀ IZSKATĀS POSITIVUS FESTIVĀLS,Wow tas saulriets bija tiiiik super skaists!! ❤❤❤💛💛💛❤❤❤👌☀️,8,11,5.0
