youtuber,video_link,title,comment,word_count,emoji_count,average_word_length
Tucker,https://www.youtube.com/watch?v=pGYPLvQ_Jfk,My Dog Reviews Toys,"Toy: * exists *

Tucker: Its a Trap!",8,0,3.5
Tucker,https://www.youtube.com/watch?v=pGYPLvQ_Jfk,My Dog Reviews Toys,"Doggo is confused about toy, doggo sniffs and is scared. Toy is very rude.",14,0,4.357142857142857
Tucker,https://www.youtube.com/watch?v=pGYPLvQ_Jfk,My Dog Reviews Toys,"This is how many people want to meet him in person 
👇🏻🥳❤️",12,3,3.4166666666666665
Tucker,https://www.youtube.com/watch?v=pGYPLvQ_Jfk,My Dog Reviews Toys,Tucker is a very cute and well-trained dog🙂. He is awsome.,11,1,4.2727272727272725
Tucker,https://www.youtube.com/watch?v=pGYPLvQ_Jfk,My Dog Reviews Toys,"Like: Dogs 
Comment: Cats
Not asking for likes, just testing an experiment who prefers things",15,0,5.2
Tucker,https://www.youtube.com/watch?v=pGYPLvQ_Jfk,My Dog Reviews Toys,"Cockroach: moves*




Tucker: Aight imma head out",7,0,5.571428571428571
Tucker,https://www.youtube.com/watch?v=pGYPLvQ_Jfk,My Dog Reviews Toys,"“ATTACK!”

-bootle 2019",3,0,6.666666666666667
Tucker,https://www.youtube.com/watch?v=pGYPLvQ_Jfk,My Dog Reviews Toys,"He protecc 
He atacc 
But most impawtaintly 
He want his owners face back",13,0,4.461538461538462
Tucker,https://www.youtube.com/watch?v=pGYPLvQ_Jfk,My Dog Reviews Toys,"If this is blue, you love Tucker
👇(I'm gifting my next 10 subs)",13,1,3.8461538461538463
Tucker,https://www.youtube.com/watch?v=pGYPLvQ_Jfk,My Dog Reviews Toys,“Hey Walter.” “Sup?” Lol.,4,0,5.5
Tucker,https://www.youtube.com/watch?v=pGYPLvQ_Jfk,My Dog Reviews Toys,"Mirror mirror on the wall whose the cutest of them all ? 
TUCKER BUDZYN AND HIS FRIENDS",17,0,4.117647058823529
Tucker,https://www.youtube.com/watch?v=pGYPLvQ_Jfk,My Dog Reviews Toys,"Linda: we have toys

Tucker: i only want treatos",9,0,4.333333333333333
Tucker,https://www.youtube.com/watch?v=pGYPLvQ_Jfk,My Dog Reviews Toys,"He protecccc
He attaccccc
but most impawtently
He catches his snaccc♥️♥️",11,2,5.454545454545454
