youtuber,video_link,title,comment,word_count,emoji_count,average_word_length
Uldons TV,https://www.youtube.com/watch?v=ucI_gQTBaRg,VAI ESI KRĀPIS ELIZABETI? / Instagram Melu Detektora Q&A kopā ar Sek*istu,Fake ❤️😂,2,2,2.5
Uldons TV,https://www.youtube.com/watch?v=ucI_gQTBaRg,VAI ESI KRĀPIS ELIZABETI? / Instagram Melu Detektora Q&A kopā ar Sek*istu,Too much for me 🤯🤯🤯,4,3,3.0
Uldons TV,https://www.youtube.com/watch?v=ucI_gQTBaRg,VAI ESI KRĀPIS ELIZABETI? / Instagram Melu Detektora Q&A kopā ar Sek*istu,"Tāda sajūta, kā atgriezties pagātnē atkal neķītrie jautājumi un can we shamsh likes :D",14,0,5.214285714285714
Uldons TV,https://www.youtube.com/watch?v=ucI_gQTBaRg,VAI ESI KRĀPIS ELIZABETI? / Instagram Melu Detektora Q&A kopā ar Sek*istu,Omg. Recigakais video. Respect. Es pirmo reizi tik smagi smējos. 🤣🤣🤣❤❤🔥🔥,10,7,5.5
Uldons TV,https://www.youtube.com/watch?v=ucI_gQTBaRg,VAI ESI KRĀPIS ELIZABETI? / Instagram Melu Detektora Q&A kopā ar Sek*istu,labais ! izsmējos no sirds ! :) viennozīmīgi like,9,0,4.555555555555555
Uldons TV,https://www.youtube.com/watch?v=ucI_gQTBaRg,VAI ESI KRĀPIS ELIZABETI? / Instagram Melu Detektora Q&A kopā ar Sek*istu,6:15 labāksis moments!! 😂,3,1,7.0
Uldons TV,https://www.youtube.com/watch?v=ucI_gQTBaRg,VAI ESI KRĀPIS ELIZABETI? / Instagram Melu Detektora Q&A kopā ar Sek*istu,"Labs video,noņirdzos lidz asarām :D",5,0,6.2
Uldons TV,https://www.youtube.com/watch?v=ucI_gQTBaRg,VAI ESI KRĀPIS ELIZABETI? / Instagram Melu Detektora Q&A kopā ar Sek*istu,V-A-N-D-Ā-Ļ-I 😂,1,1,13.0
Uldons TV,https://www.youtube.com/watch?v=ucI_gQTBaRg,VAI ESI KRĀPIS ELIZABETI? / Instagram Melu Detektora Q&A kopā ar Sek*istu,Šo vajag padarīt par regulāru video ar dažādiem viesiem! :D,10,0,5.0
Uldons TV,https://www.youtube.com/watch?v=ucI_gQTBaRg,VAI ESI KRĀPIS ELIZABETI? / Instagram Melu Detektora Q&A kopā ar Sek*istu,6:15 labākis brīdis šajā video.,5,0,5.4
Uldons TV,https://www.youtube.com/watch?v=ucI_gQTBaRg,VAI ESI KRĀPIS ELIZABETI? / Instagram Melu Detektora Q&A kopā ar Sek*istu,2019 gada labākais video un ņirdzīgākaias🤣🤣🤣💪🏽👍,6,5,6.0
