Name,Channel,Subscribers,Category
Little Movies - игры для детей,https://youtube.com/channel/UC1M_BSOn6xPe5F8NxDrVs5Q/videos,1.6M,Film
KeepMyWords,https://youtube.com/channel/UCZWD9RF0ME7InJlsIkY-5qg/videos,260K,
Toms Mucenieks,https://youtube.com/channel/UCfWXf5EvbPUxrN7vFDspDQQ/videos,1.17M,Music
K4 Movies,https://youtube.com/channel/UCuexZTMcHzjX4YoRjq_Figw/videos,305K,Autos
Юрмала Шансон,https://youtube.com/channel/UCZHYGLmgK3VneZmgIB-Xijw/videos,41.8K,Music
Первый Балтийский канал,https://youtube.com/channel/UCn3q3cjJySiU4d3NiGDse2g/videos,65.6K,News
PilotZX6R,https://youtube.com/channel/UCL-nbxU92PJiCfCJLFMQ6OA/videos,1.01M,People
EVOLUTION TV,https://youtube.com/channel/UC3SI8EF15iy3BNCRm8OfE9w/videos,288K,Entertainment
EDplus777,https://youtube.com/channel/UCn5wtpa-WcFPeAXZumbZlyw/videos,699K,Film
Premium Music HQ,https://youtube.com/channel/UCDNX3eBBlqBLpjv_b3UiodQ/videos,319K,Music
XboxGamerK,https://youtube.com/channel/UCX_ldjL6rj7T9mMwehy7hQQ/videos,628K,Film
sitamfricus,https://youtube.com/channel/UCla9QKY-shVx9ugrnRfHRGA/videos,42.5K,Autos
9kriminal,https://youtube.com/channel/UCPPZn-wYzJg3E-Cl63MN2JQ/videos,99.2K,Film
MotoHunterZ,https://youtube.com/channel/UCzIToKUByTS5S3xD2liw68A/videos,543K,People
Murzofix,https://youtube.com/channel/UCtDUJoWBgUaYUeHtMA0LNGg/videos,265K,Games
Вкусно Просто Быстро - Д�…,https://youtube.com/channel/UC-12uE56UJS88UifVftNh2Q/videos,233K,People
Terra Blonda,https://youtube.com/channel/UCwAmZDakUJ7Og_Kj1i98gBg/videos,82.6K,Comedy
Vi Gi,https://youtube.com/channel/UCedyz55lVxjAwPaB78w5CLg/videos,222K,Music
Laima Rendez Vous Jūrmala,https://youtube.com/channel/UCgRk9X8OUtSrZAvp390M16Q/videos,20.1K,
AndroidLove,https://youtube.com/channel/UC6TR5H_130PzYKpxE1Uyp6A/videos,34.7K,Games
lena safronova,https://youtube.com/channel/UCeC5ETfitvlYle90myB3JaQ/videos,128K,Film
Chief Mouse,https://youtube.com/channel/UCzNpiGEr2QEsjOm9bV6T9vw/videos,42K,Music
Epic Video Game Music Video,https://youtube.com/channel/UCFA7p3-ZnacotARKQllZ3vQ/videos,80.4K,Music
BERMUDU DIVSTURIS,https://youtube.com/channel/UC3SPthDmrKuKTOvzOiAwQxg/videos,100K,Music
Tobu,https://youtube.com/channel/UCAA6pKrh72sARBb7JCfp8AA/videos,1.02M,Music
Demet Europe,https://youtube.com/channel/UCMNDMMYHfsUmDtOkZHcAIVw/videos,30.1K,
